fold,test_acc,test_prec,test_rec,test_spec,test_f1,test_roc_auc,test_pr_auc
1,0.8834688346883469,0.9498069498069498,0.8913043478260869,0.8602150537634409,0.9196261682242991,0.9348605267258844,0.9737008640743843
2,0.8342391304347826,0.9113924050632911,0.84375,0.8125,0.8762677484787018,0.915771484375,0.9649739644323383
3,0.7989130434782609,0.9178082191780822,0.7821011673151751,0.8378378378378378,0.8445378151260504,0.8885266589546745,0.9511879017731231
4,0.8505434782608695,0.9397590361445783,0.8540145985401459,0.8404255319148937,0.8948374760994264,0.902974064295698,0.9681835240272423
5,0.8505434782608695,0.9238095238095239,0.8326180257510729,0.8814814814814815,0.8758465011286681,0.920902877126053,0.9591175080887379
