fold,test_acc,test_prec,test_rec,test_spec,test_f1,test_roc_auc,test_pr_auc
1,0.8672086720867209,0.9450980392156862,0.8731884057971014,0.8494623655913979,0.9077212806026366,0.9286270843073086,0.9698149305932608
2,0.8179347826086957,0.9276018099547512,0.80078125,0.8571428571428571,0.859538784067086,0.906494140625,0.9598627730932026
3,0.779891304347826,0.9036697247706422,0.7665369649805448,0.8108108108108109,0.8294736842105264,0.8748904546569916,0.9458592273627064
4,0.8260869565217391,0.9375,0.8211678832116789,0.8404255319148937,0.8754863813229572,0.8879096132939897,0.9620356260658882
5,0.8288043478260869,0.9047619047619048,0.8154506437768241,0.8518518518518519,0.8577878103837472,0.9085042123668734,0.9519260929717408
