fold,test_acc,test_prec,test_rec,test_spec,test_f1,test_roc_auc,test_pr_auc
1,0.8726287262872628,0.8934707903780069,0.9420289855072463,0.6666666666666666,0.9171075837742504,0.9250038959015118,0.9668995562529199
2,0.8260869565217391,0.8478260869565217,0.9140625,0.625,0.8796992481203008,0.9010184151785714,0.9568752807665541
3,0.7880434782608695,0.8455598455598455,0.8521400778210116,0.6396396396396397,0.8488372093023255,0.869036351526624,0.9432749339825055
4,0.8097826086956522,0.8617021276595744,0.8868613138686131,0.5851063829787234,0.8741007194244604,0.8843764559714242,0.9607128561771481
5,0.7934782608695652,0.8007662835249042,0.8969957081545065,0.6148148148148148,0.8461538461538461,0.9061198537593389,0.9510592985823225
