fold,test_acc,test_prec,test_rec,test_spec,test_f1,test_roc_auc,test_pr_auc
1,0.8265582655826558,0.9453781512605042,0.8152173913043478,0.8602150537634409,0.8754863813229572,0.9196665108306062,0.969378113310657
2,0.8016304347826086,0.933649289099526,0.76953125,0.875,0.8436830835117773,0.8921595982142857,0.9485071208101787
3,0.7744565217391305,0.9027777777777778,0.7587548638132295,0.8108108108108109,0.8245243128964059,0.8649349738843901,0.941042950289521
4,0.8043478260869565,0.9353448275862069,0.791970802919708,0.8404255319148937,0.857707509881423,0.8738158099083709,0.9553011056156127
5,0.8125,0.9315789473684211,0.759656652360515,0.9037037037037037,0.8368794326241135,0.9081545064377682,0.9513432525993805
