fold,test_acc,test_prec,test_rec,test_spec,test_f1,test_roc_auc,test_pr_auc
1,0.8563685636856369,0.9144981412639405,0.8913043478260869,0.7526881720430108,0.9027522935779817,0.9142901667445847,0.9668654438095485
2,0.8097826086956522,0.8811475409836066,0.83984375,0.7410714285714286,0.86,0.879150390625,0.9396914711207465
3,0.782608695652174,0.8443579766536965,0.8443579766536965,0.6396396396396397,0.8443579766536965,0.859676797419988,0.9377349421042277
4,0.8097826086956522,0.8722627737226277,0.8722627737226277,0.6276595744680851,0.8722627737226277,0.8657400217425066,0.9503752394751432
5,0.8288043478260869,0.8571428571428571,0.8755364806866953,0.7481481481481481,0.8662420382165605,0.9003020187569544,0.946702102499742
