fold,epoch,train_loss,train_acc,val_loss,val_acc,val_prec,val_rec,val_spec,val_f1,val_roc_auc,val_pr_auc
2,1,0.16478840791713603,0.7614601018675722,0.14869150605242132,0.2677966101694915,0.0,0.0,1.0,0.0,0.8486872948898265,0.916883722598216
2,2,0.14258097443596818,0.7640067911714771,0.1430773293062792,0.2847457627118644,1.0,0.023148148148148147,1.0,0.04524886877828054,0.872304266291608,0.9412576514082864
2,3,0.13013930518831585,0.765704584040747,0.12598337086580566,0.535593220338983,0.9876543209876543,0.37037037037037035,0.9873417721518988,0.5387205387205387,0.8805086732301922,0.9502967905261914
2,4,0.12172584548111885,0.7555178268251274,0.11536930584806507,0.6474576271186441,0.9590163934426229,0.5416666666666666,0.9367088607594937,0.6923076923076923,0.8893577121425223,0.9569401840634522
2,5,0.11760325876581648,0.7512733446519525,0.10818453643281581,0.7186440677966102,0.9586206896551724,0.6435185185185185,0.9240506329113924,0.7700831024930748,0.8959212376933896,0.9603576379759562
2,6,0.11350238897500904,0.7572156196943973,0.10194119720135705,0.7627118644067796,0.9506172839506173,0.7129629629629629,0.8987341772151899,0.8148148148148148,0.9043600562587905,0.9647806137634956
2,7,0.11160973659344967,0.7521222410865874,0.09760808017799409,0.7796610169491526,0.9520958083832335,0.7361111111111112,0.8987341772151899,0.8302872062663186,0.9108649789029536,0.9679789489456424
2,8,0.10909690379033873,0.7453310696095077,0.09423872805752996,0.7966101694915254,0.9588235294117647,0.7546296296296297,0.9113924050632911,0.844559585492228,0.9126230661040787,0.9687688588249901
2,9,0.10738054188585039,0.7623089983022071,0.09198098013461646,0.8067796610169492,0.9595375722543352,0.7685185185185185,0.9113924050632911,0.8534704370179949,0.9137951242381621,0.9692241548268075
2,10,0.10561912255092873,0.7614601018675722,0.09125573395167368,0.8067796610169492,0.9595375722543352,0.7685185185185185,0.9113924050632911,0.8534704370179949,0.9162564463197375,0.9701680702889451
2,11,0.10406292909171261,0.7563667232597623,0.0885803619431237,0.8135593220338984,0.9548022598870056,0.7824074074074074,0.8987341772151899,0.8600508905852418,0.9193624003750586,0.9715989128045937
2,12,0.10369938843470883,0.7707979626485568,0.08803570952455876,0.8101694915254237,0.9545454545454546,0.7777777777777778,0.8987341772151899,0.8571428571428571,0.919831223628692,0.9717648857112716
2,13,0.10191679042597983,0.7623089983022071,0.08604266002016553,0.8203389830508474,0.9553072625698324,0.7916666666666666,0.8987341772151899,0.8658227848101265,0.920827473042663,0.9721028032803718
2,14,0.10120239570509193,0.7631578947368421,0.08429491641157764,0.823728813559322,0.9555555555555556,0.7962962962962963,0.8987341772151899,0.8686868686868687,0.920886075949367,0.972103790736436
2,15,0.100584333348254,0.7724957555178268,0.08570559365769564,0.8135593220338984,0.9548022598870056,0.7824074074074074,0.8987341772151899,0.8600508905852418,0.9207688701359587,0.9719918848510677
2,16,0.10112114162113145,0.7699490662139219,0.08240394572080192,0.8406779661016949,0.9567567567567568,0.8194444444444444,0.8987341772151899,0.8827930174563591,0.9223511486169714,0.9728165326977243
2,17,0.09971399778572934,0.7614601018675722,0.08232475009004948,0.8372881355932204,0.9565217391304348,0.8148148148148148,0.8987341772151899,0.88,0.9226441631504922,0.9730205852441072
2,18,0.09901062905130645,0.7818336162988115,0.08075095301462432,0.847457627118644,0.9572192513368984,0.8287037037037037,0.8987341772151899,0.8883374689826302,0.9234646038443506,0.97330338990012
2,19,0.09797671748442237,0.764855687606112,0.08087658675040228,0.8372881355932204,0.9565217391304348,0.8148148148148148,0.8987341772151899,0.88,0.9242264416315049,0.973626534080005
2,20,0.09772635277847685,0.7750424448217318,0.07971271415383129,0.847457627118644,0.9572192513368984,0.8287037037037037,0.8987341772151899,0.8883374689826302,0.9243436474449134,0.973449862909822
