fold,test_acc,test_prec,test_rec,test_spec,test_f1,test_roc_auc,test_pr_auc
1,0.25203252032520324,0.0,0.0,1.0,0.0,0.7820243104254324,0.8796528835636666
2,0.3179347826086957,0.8571428571428571,0.0234375,0.9910714285714286,0.045627376425855515,0.7892020089285714,0.8666308350474864
3,0.7364130434782609,0.8125,0.8093385214007782,0.5675675675675675,0.8109161793372319,0.7382129210922986,0.8336624295039752
4,0.779891304347826,0.7951070336391437,0.948905109489051,0.2872340425531915,0.8652246256239601,0.6805404565926386,0.8256512652164179
5,0.6331521739130435,0.6331521739130435,1.0,0.0,0.7753743760399334,0.21789858528055955,0.47085303298283027
