fold,test_acc,test_prec,test_rec,test_spec,test_f1,test_roc_auc,test_pr_auc
1,0.25203252032520324,0.0,0.0,1.0,0.0,0.8281517843228923,0.9158659285409156
2,0.3125,1.0,0.01171875,1.0,0.023166023166023165,0.7958286830357143,0.8681676797420179
3,0.6358695652173914,0.8682634730538922,0.5642023346303502,0.8018018018018018,0.6839622641509434,0.7446980053983946,0.8257059293973975
4,0.6902173913043478,0.8361344537815126,0.7262773722627737,0.5851063829787234,0.77734375,0.7163767665786612,0.8501001035029947
5,0.6385869565217391,0.6404494382022472,0.9785407725321889,0.05185185185185185,0.7741935483870968,0.6280082657765061,0.7177595078187313
