fold,test_acc,test_prec,test_rec,test_spec,test_f1,test_roc_auc,test_pr_auc
1,0.8319783197831978,0.9495798319327731,0.8188405797101449,0.8709677419354839,0.8793774319066148,0.9185756584073554,0.9672614002930549
2,0.8070652173913043,0.9342723004694836,0.77734375,0.875,0.8486140724946695,0.8956473214285715,0.9533563763998936
3,0.7853260869565217,0.8973214285714286,0.7821011673151751,0.7927927927927928,0.8357588357588358,0.8751358362253304,0.9476484492495495
4,0.8260869565217391,0.8977272727272727,0.864963503649635,0.7127659574468085,0.8810408921933085,0.8891132163379406,0.9630938738169379
5,0.8315217391304348,0.9052132701421801,0.8197424892703863,0.8518518518518519,0.8603603603603603,0.9125417262756319,0.9551494188878792
