fold,test_acc,test_prec,test_rec,test_spec,test_f1,test_roc_auc,test_pr_auc
1,0.8563685636856369,0.9407114624505929,0.8623188405797102,0.8387096774193549,0.8998109640831758,0.9058360604643915,0.9607541622698494
2,0.7907608695652174,0.8482490272373541,0.8515625,0.6517857142857143,0.8499025341130604,0.8649553571428572,0.93519643714349
3,0.7853260869565217,0.8449612403100775,0.8482490272373541,0.6396396396396397,0.8466019417475729,0.847057173905423,0.93504691970898
4,0.8016304347826086,0.8501742160278746,0.8905109489051095,0.5425531914893617,0.8698752228163993,0.8720686441994099,0.9543237926692384
5,0.7771739130434783,0.7745454545454545,0.9141630901287554,0.5407407407407407,0.8385826771653543,0.8950882212684786,0.9461236131300883
