fold, epoch, train_loss          , train_acc         , val_loss            , val_acc           , val_prec          , val_rec           , val_spec           , val_f1            , val_roc_auc       , val_pr_auc
   1,     1, 0.029933707434399423, 0.700339558573854 , 0.037749343329951876, 0.6938775510204082, 0.6879432624113475, 0.9897959183673469, 0.10204081632653061, 0.8117154811715481, 0.8786443148688048, 0.9288036106541235
   1,     2, 0.02600690771166254 , 0.7461799660441426, 0.02584254531329181 , 0.8163265306122449, 0.8944444444444445, 0.8214285714285714, 0.8061224489795918 , 0.8563829787234043, 0.8837984173261141, 0.9396169597358388
   1,     3, 0.024911101841081584, 0.7767402376910016, 0.02476698403455773 , 0.8095238095238095, 0.9117647058823529, 0.7908163265306123, 0.8469387755102041 , 0.8469945355191257, 0.8887442732194919, 0.9419938655225226
   1,     4, 0.024359534733338954, 0.7758913412563667, 0.02512543564852403 , 0.8197278911564626, 0.8783068783068783, 0.8469387755102041, 0.7653061224489796 , 0.8623376623376623, 0.8922844648063307, 0.9432239313694003
   1,     5, 0.024063992053143843, 0.7826825127334465, 0.024195423286382845, 0.8231292517006803, 0.9137931034482759, 0.8112244897959183, 0.8469387755102041 , 0.8594594594594595, 0.8954602249062891, 0.9442792209587355
   1,     6, 0.023993775583740405, 0.7911714770797963, 0.024835021114673745, 0.8435374149659864, 0.875             , 0.8928571428571429, 0.7448979591836735 , 0.8838383838383839, 0.9010308204914619, 0.9477411339807731
   1,     7, 0.02373643844674621 , 0.7818336162988115, 0.024917276234042888, 0.8197278911564626, 0.8907103825136612, 0.8316326530612245, 0.7959183673469388 , 0.8601583113456465, 0.8945231153685963, 0.9431488798787595
   1,     8, 0.023470263738431835, 0.7869269949066214, 0.02367883436635238 , 0.8435374149659864, 0.9032258064516129, 0.8571428571428571, 0.8163265306122449 , 0.8795811518324608, 0.9033735943356935, 0.9510657159699079
   1,     9, 0.022977164268164763, 0.801358234295416 , 0.02354532249626659 , 0.8333333333333334, 0.8808290155440415, 0.8673469387755102, 0.7653061224489796 , 0.8740359897172236, 0.9072261557684298, 0.9518514641356797
   1,    10, 0.022655365248613932, 0.8005093378607809, 0.024321179659593673, 0.8231292517006803, 0.8913043478260869, 0.8367346938775511, 0.7959183673469388 , 0.8631578947368421, 0.9011870054144108, 0.9458703844571428
   1,    11, 0.02253632346746877 , 0.801358234295416 , 0.023240383182253157, 0.8503401360544217, 0.8917525773195877, 0.8826530612244898, 0.7857142857142857 , 0.8871794871794871, 0.9122240733027904, 0.9549206435404086
   1,    12, 0.02220794469978287 , 0.8115449915110357, 0.02270983395223715 , 0.8503401360544217, 0.9               , 0.8724489795918368, 0.8061224489795918 , 0.8860103626943006, 0.9129008746355685, 0.956689808947804
   1,    13, 0.022218572987790626, 0.797962648556876 , 0.022799035572275823, 0.8367346938775511, 0.9204545454545454, 0.826530612244898 , 0.8571428571428571 , 0.8709677419354839, 0.9117034568929613, 0.9546469620774507
   1,    14, 0.022801044158295987, 0.799660441426146 , 0.022778273642468615, 0.8503401360544217, 0.9086021505376344, 0.8622448979591837, 0.826530612244898  , 0.8848167539267016, 0.9153998334027489, 0.956624244648479
   1,    15, 0.02191018933313306 , 0.8115449915110357, 0.02296989550497256 , 0.8231292517006803, 0.9137931034482759, 0.8112244897959183, 0.8469387755102041 , 0.8594594594594595, 0.9110266555601833, 0.9521267672375667
   1,    16, 0.021840817963859425, 0.801358234295416 , 0.022111597008445637, 0.8333333333333334, 0.9349112426035503, 0.8061224489795918, 0.8877551020408163 , 0.8657534246575342, 0.9156601416076635, 0.957883363481118
   1,    17, 0.02166304059313999 , 0.8022071307300509, 0.02204402465195883 , 0.8639455782312925, 0.9148936170212766, 0.8775510204081632, 0.8367346938775511 , 0.8958333333333334, 0.9199291961682632, 0.9621144733150634
   1,    18, 0.021483910401274273, 0.8166383701188455, 0.021466723560881452, 0.8639455782312925, 0.9285714285714286, 0.8622448979591837, 0.8673469387755102 , 0.8941798941798942, 0.921438983756768 , 0.963069962234317
   1,    19, 0.020896917319712695, 0.8166383701188455, 0.021817070032869066, 0.826530612244898 , 0.9503105590062112, 0.7806122448979592, 0.9183673469387755 , 0.8571428571428571, 0.9212827988338192, 0.9613632286835077
   1,    20, 0.020687623325804903, 0.8174872665534805, 0.021947164620671953, 0.8435374149659864, 0.8865979381443299, 0.8775510204081632, 0.7755102040816326 , 0.882051282051282 , 0.9225843398583924, 0.9638160422261935
